"filename", "language", "C#", "Markdown", "C++", "XML", "comment", "blank", "total"
"e:\coding_workspaces\CPP\swgoh-command-bridge\CHANGELOG.md", "Markdown", 0, 33, 0, 0, 0, 6, 39
"e:\coding_workspaces\CPP\swgoh-command-bridge\CODING_STANDARDS.md", "Markdown", 0, 151, 0, 0, 0, 30, 181
"e:\coding_workspaces\CPP\swgoh-command-bridge\CharacterEntity.cs", "C#", 16, 0, 0, 0, 3, 9, 28
"e:\coding_workspaces\CPP\swgoh-command-bridge\ComlinkService.cs", "C#", 63, 0, 0, 0, 8, 12, 83
"e:\coding_workspaces\CPP\swgoh-command-bridge\ComlinkService.hpp", "C++", 0, 0, 14, 0, 3, 7, 24
"e:\coding_workspaces\CPP\swgoh-command-bridge\GameModEntity.cs", "C#", 16, 0, 0, 0, 3, 9, 28
"e:\coding_workspaces\CPP\swgoh-command-bridge\IComlinkService.cs", "C#", 11, 0, 0, 0, 9, 3, 23
"e:\coding_workspaces\CPP\swgoh-command-bridge\IModAssignmentService.cs", "C#", 15, 0, 0, 0, 6, 2, 23
"e:\coding_workspaces\CPP\swgoh-command-bridge\IPlayerRepository.cs", "C#", 12, 0, 0, 0, 9, 3, 24
"e:\coding_workspaces\CPP\swgoh-command-bridge\ISwgohGgScraperService.cs", "C#", 12, 0, 0, 0, 9, 3, 24
"e:\coding_workspaces\CPP\swgoh-command-bridge\ModAssignmentService.cs", "C#", 110, 0, 0, 0, 12, 22, 144
"e:\coding_workspaces\CPP\swgoh-command-bridge\PlayerEntity.cs", "C#", 14, 0, 0, 0, 3, 7, 24
"e:\coding_workspaces\CPP\swgoh-command-bridge\PlayerRepository.cs", "C#", 64, 0, 0, 0, 8, 14, 86
"e:\coding_workspaces\CPP\swgoh-command-bridge\README.md", "Markdown", 0, 29, 0, 0, 0, 9, 38
"e:\coding_workspaces\CPP\swgoh-command-bridge\SwgohGgRecommendationEntity.cs", "C#", 13, 0, 0, 0, 18, 6, 37
"e:\coding_workspaces\CPP\swgoh-command-bridge\SwgohGgScraperService.cs", "C#", 114, 0, 0, 0, 14, 24, 152
"e:\coding_workspaces\CPP\swgoh-command-bridge\TODO.md", "Markdown", 0, 64, 0, 0, 0, 9, 73
"e:\coding_workspaces\CPP\swgoh-command-bridge\docs\AGENTS.md", "Markdown", 0, 14, 0, 0, 0, 7, 21
"e:\coding_workspaces\CPP\swgoh-command-bridge\docs\ARCHITECTURE.md", "Markdown", 0, 41, 0, 0, 0, 12, 53
"e:\coding_workspaces\CPP\swgoh-command-bridge\docs\COMLINK_SETUP.md", "Markdown", 0, 17, 0, 0, 0, 7, 24
"e:\coding_workspaces\CPP\swgoh-command-bridge\docs\FILE_MANIFEST.md", "Markdown", 0, 83, 0, 0, 0, 3, 86
"e:\coding_workspaces\CPP\swgoh-command-bridge\docs\MOD_MECHANICS.md", "Markdown", 0, 30, 0, 0, 0, 12, 42
"e:\coding_workspaces\CPP\swgoh-command-bridge\docs\SPEC.md", "Markdown", 0, 41, 0, 0, 0, 10, 51
"e:\coding_workspaces\CPP\swgoh-command-bridge\docs\STATE_FLOW.md", "Markdown", 0, 18, 0, 0, 0, 7, 25
"e:\coding_workspaces\CPP\swgoh-command-bridge\src\ComlinkService.cpp", "C++", 0, 0, 33, 0, 0, 7, 40
"e:\coding_workspaces\CPP\swgoh-command-bridge\src\swgoh-command-bridge.Core\AppDbContext.cs", "C#", 55, 0, 0, 0, 11, 13, 79
"e:\coding_workspaces\CPP\swgoh-command-bridge\src\swgoh-command-bridge.Core\Database\Entities\CharacterEntity.cs", "C#", 16, 0, 0, 0, 3, 9, 28
"e:\coding_workspaces\CPP\swgoh-command-bridge\src\swgoh-command-bridge.Core\Database\Entities\GameModEntity.cs", "C#", 16, 0, 0, 0, 3, 9, 28
"e:\coding_workspaces\CPP\swgoh-command-bridge\src\swgoh-command-bridge.Core\Database\Entities\PlayerEntity.cs", "C#", 14, 0, 0, 0, 3, 7, 24
"e:\coding_workspaces\CPP\swgoh-command-bridge\src\swgoh-command-bridge.Core\Database\Entities\SwgohGgRecommendationEntity.cs", "C#", 13, 0, 0, 0, 18, 6, 37
"e:\coding_workspaces\CPP\swgoh-command-bridge\src\swgoh-command-bridge.Core\Database\Repositories\IPlayerRepository.cs", "C#", 12, 0, 0, 0, 9, 3, 24
